Pinyin,English
laing2,2
sānshí,30
bei1,(a cup of)
le,(in the past)
mei2,(objective not)
ne,(same question again)
ma,(yes or no question)
you2 dianr3,a little bit
cheng2 ren2,adult
jīchǎng,airport
ye3,also
dàshǐ,ambassador
cuo4,bad
bei4 si,bass
měilì,beautiful
yǐqián,before
Běijīng,Beijing
shen1 ti3,body
zǎofàn,breakfast
guan3,building
mang2,busy
mao1,cat
zhong1 wen2,chinese language
main4 tiao2,chinese noodles
cheng2,city/wall
shou1 shi wu1 zi,cleaning
yün2,cloud
dui4,correct
wénhuà,culture
bei1 zi,cup
hǎochī,delicious
cídiǎn,dictionary
wǎnfàn,dinner
gou3,dog
he1,drink
jiǎozi,dumpling
er3 duo,ear
zao3,early
zǎoshang,early morning
róngyì,easy
chi1,eat
shǐguǎn,embassy
mo4,end
jin4,enter
wǎnshang,evening
měi tiān,every day
duànliàn,exercise
xia4,fall/down
jiārén,family member
yǒumíng,famous
kuai4,fast
jie2,festival
hao3 kan4,film
fai1,fly
fa3 guo3,france
waner2,fun
bǐsài,game
gei3,give
qu4,go
hen2,good
zàijiàn,goodbye
lv4,green
ji2 ta,guitar
gao1xing4,happy
you3,have
xin1,heart
re4,hot
zen3 me,how
zěnme,how
zen3 me yang4,how you doing
e4,hungry
zhàngfu,husband
wo3,I
wo3 ch1 su4,i am a veggie
wo3 zhi1 dao4 la,i got it
wo3 jan4 peng2 you le,i saw my friends
bing1,ice
bing1 ji1 lin2,ice cream
bu4,is not
xi3 huan,like
xǐhuan,like
rènao,lively
chang2,long
Chángchéng,long wall
kan4,look
hǎokàn,looks good
ai1,love
jīnglǐ,manager
han4 yu3,mandarin
qǐng wèn,may I ask
fan4,meal
shàngwǔ,morning
yīnyuè,music
cheese,nai3 lao4
xin1,new
shēngcí,new word
main4,noodle
bu2 cuo4,not bad
mei2 you3,not have
mei2 you3,not have
xian4 zai4,now
hai2 ke2 yi3,OK
hai2 xing2,ok
kai1,open
kai1 xin1,open heart (happy)
jain1 ji1 dan4,pan fried egg (omelette)
gōngyuán,park
dian4 hua4,phone call
da3 you3 xi4,play video game
yúkuài,pleasant
qing3,please
zheng4 zhi,politics
de,posession
lian4 xi2,practice
xia4 yu3,rain
yu4,rain
hong2,red
hóngsè,red
fànguǎnr,restaurant
mǎlù,road
pao3 bu4,running
xing1 qi1 liu4,saturday
chàng gē,singing
zuo4,sit
qǐng zuò,sit please
xiao3,small
xiǎoháir,small children
xüe3,snow
yi ban1 ban1,so so
you3 shi2 hou,sometimes
dui4 bu4 chi3,sorry
ai1ren,spouse
chun1,spring
chūntiān,spring
tang2,sugar
xing1 qi1 ri4,sunday
san4 bu4,take a walk
lǎoshī,teacher
xie4 xie,thanks
ying2 guo3,the UK
ran2hou4,then
ránhòu,then
ke3,thirsty
zhe4 shi4,This is
lei4,tired
zhīdào,to know
ren4shi,to know someone
jin1 tian1,today
fan1 qie2,tomato
dǔ chē,traffic jam
huǒchē,train
yǔsǎn,umbrella
yǔsǎn,umbrella
Měiguó,USA
yǒuyòng,useful
shūcài,vegetable
su4 shi1 zhu3 yi4 zhe3,vegetarian
hen3,very
hěn máng,very busy
wan2 you2 xi4,video game
zou3,walk
xiang3,want
yao4,want/need
xing1 qi1,week
zhou1,week (formal)
zhou1 mo4,weekend
shen2 me,what
shénme,what
zai4,where
zhu4,where
na3,which
jia1,with/add
zuo2 tian1,yesterday
zuótiān,yesterday
ni3,you
bu2 ke4qi,youre welcome
ren4shi ni3 hen3 gao1xing4,nice to meet you
ge,(measure word)
bi3,pen
qian1 bi3,pencil
dian4 ying3,movie
guo4,experianced
qv kan4,visit
kai1 che1,driving car
shuo1,speak
yu3yan2,languages
wen2 zi4,character
xie3,write
nan2 haier,boy
nv3 haier,girl
nar3,where
shei2,who
ji3,how much (less than 10)
duo1 shao,how much (more than 10)
